# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,8.392188e+16,8.392188e+10,7.824353e+16,7.824353e+10,1.5831,-550.0000,-219238.9640
2.343787e-02,23.4379,7.918449e+16,7.918449e+10,7.566023e+16,7.566023e+10,1.5796,-476.3341,-219238.9640
2.373074e-02,23.7307,7.464093e+16,7.464093e+10,7.253063e+16,7.253063e+10,1.5762,-421.5831,-140281.8739
2.402361e-02,24.0236,7.031592e+16,7.031592e+10,6.907714e+16,6.907714e+10,1.5727,-394.1655,-63441.5441
2.431648e-02,24.3165,6.618972e+16,6.618972e+10,6.561419e+16,6.561419e+10,1.5693,-384.4229,-22359.1605
2.460935e-02,24.6093,6.226420e+16,6.226420e+10,6.227444e+16,6.227444e+10,1.5660,-381.0688,-8483.7550
2.490222e-02,24.9022,5.855861e+16,5.855861e+10,5.905640e+16,5.905640e+10,1.5627,-379.4536,-4706.9912
2.519509e-02,25.1951,5.508663e+16,5.508663e+10,5.591306e+16,5.591306e+10,1.5594,-378.3118,-3679.0200
2.548796e-02,25.4880,5.184652e+16,5.184652e+10,5.284121e+16,5.284121e+10,1.5561,-377.2987,-3399.2478
2.578083e-02,25.7808,4.882768e+16,4.882768e+10,4.987813e+16,4.987813e+10,1.5529,-376.3207,-3323.1198
2.607370e-02,26.0737,4.601704e+16,4.601704e+10,4.706080e+16,4.706080e+10,1.5497,-375.3522,-3302.4119
2.636657e-02,26.3666,4.340156e+16,4.340156e+10,4.440955e+16,4.440955e+10,1.5466,-374.3863,-3296.7818
2.665944e-02,26.6594,4.096884e+16,4.096884e+10,4.193047e+16,4.193047e+10,1.5434,-373.4212,-3295.2519
2.695231e-02,26.9523,3.870725e+16,3.870725e+10,3.962123e+16,3.962123e+10,1.5403,-372.4562,-3294.8364
2.724518e-02,27.2452,3.660593e+16,3.660593e+10,3.747528e+16,3.747528e+10,1.5373,-371.4912,-3294.7235
2.753805e-02,27.5380,3.465471e+16,3.465471e+10,3.548419e+16,3.548419e+10,1.5342,-370.5263,-3294.6929
