# pressure = 0.5
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
2.314500e-02,23.1450,4.722941e+17,4.722941e+11,5.150458e+17,5.150458e+11,1.5831,-550.0000,-244692.2445
2.343787e-02,23.4379,4.453065e+17,4.453065e+11,5.007917e+17,5.007917e+11,1.5796,-457.8783,-244692.2445
2.373074e-02,23.7307,4.180925e+17,4.180925e+11,4.911579e+17,4.911579e+11,1.5762,-406.6741,-118389.1827
2.402361e-02,24.0236,3.904799e+17,3.904799e+11,4.810202e+17,4.810202e+11,1.5727,-388.5331,-40603.9319
2.431648e-02,24.3165,3.626532e+17,3.626532e+11,4.635621e+17,4.635621e+11,1.5693,-382.8908,-13454.8141
2.460935e-02,24.6093,3.353268e+17,3.353268e+11,4.400360e+17,4.400360e+11,1.5659,-380.6521,-6061.5099
2.490222e-02,24.9022,3.093149e+17,3.093149e+11,4.135463e+17,4.135463e+11,1.5620,-379.3403,-4048.1499
2.519509e-02,25.1951,2.850487e+17,2.850487e+11,3.860944e+17,3.860944e+11,1.5567,-378.2810,-3499.8675
2.548796e-02,25.4880,2.626104e+17,2.626104e+11,3.589085e+17,3.589085e+11,1.5503,-377.2903,-3350.5581
2.578083e-02,25.7808,2.419376e+17,2.419376e+11,3.327036e+17,3.327036e+11,1.5450,-376.3184,-3309.8979
2.607370e-02,26.0737,2.229243e+17,2.229243e+11,3.078679e+17,3.078679e+11,1.5410,-375.3516,-3298.8252
2.636657e-02,26.3666,2.054530e+17,2.054530e+11,2.845856e+17,2.845856e+11,1.5376,-374.3862,-3295.8099
2.665944e-02,26.6594,1.894080e+17,1.894080e+11,2.629177e+17,2.629177e+11,1.5344,-373.4211,-3294.9887
2.695231e-02,26.9523,1.746805e+17,1.746805e+11,2.428516e+17,2.428516e+11,1.5313,-372.4562,-3294.7651
2.724518e-02,27.2452,1.611691e+17,1.611691e+11,2.243332e+17,2.243332e+11,1.5282,-371.4912,-3294.7042
2.753805e-02,27.5380,1.487797e+17,1.487797e+11,2.072857e+17,2.072857e+11,1.5252,-370.5263,-3294.6876
2.783091e-02,27.8309,1.374253e+17,1.374253e+11,1.916214e+17,1.916214e+11,1.5222,-369.5614,-3294.6831
2.812378e-02,28.1238,1.270251e+17,1.270251e+11,1.772490e+17,1.772490e+11,1.5192,-368.5965,-3294.6819
2.841665e-02,28.4167,1.175043e+17,1.175043e+11,1.640775e+17,1.640775e+11,1.5163,-367.6316,-3294.6816
2.870952e-02,28.7095,1.087938e+17,1.087938e+11,1.520187e+17,1.520187e+11,1.5134,-366.6667,-3294.6815
2.900239e-02,29.0024,1.008293e+17,1.008293e+11,1.409885e+17,1.409885e+11,1.5105,-365.7018,-3294.6815
2.929526e-02,29.2953,9.355152e+16,9.355152e+10,1.309075e+17,1.309075e+11,1.5076,-364.7368,-3294.6814
2.958813e-02,29.5881,8.690554e+16,8.690554e+10,1.217012e+17,1.217012e+11,1.5048,-363.7719,-3294.6814
2.988100e-02,29.8810,8.084047e+16,8.084047e+10,1.133001e+17,1.133001e+11,1.5020,-362.8070,-3294.6814
3.017387e-02,30.1739,7.530926e+16,7.530926e+10,1.056395e+17,1.056395e+11,1.4992,-361.8421,-3294.6814
3.046674e-02,30.4667,7.026837e+16,7.026837e+10,9.865929e+16,9.865929e+10,1.4965,-360.8772,-3294.6814
3.075961e-02,30.7596,6.567753e+16,6.567753e+10,9.230374e+16,9.230374e+10,1.4938,-359.9123,-3294.6814
3.105248e-02,31.0525,6.149949e+16,6.149949e+10,8.652119e+16,8.652119e+10,1.4911,-358.9474,-3294.6814
3.134535e-02,31.3454,5.769983e+16,5.769983e+10,8.126387e+16,8.126387e+10,1.4884,-357.9825,-3294.6814
3.163822e-02,31.6382,5.424672e+16,5.424672e+10,7.648755e+16,7.648755e+10,1.4858,-357.0175,-3294.6814
3.193109e-02,31.9311,5.111080e+16,5.111080e+10,7.215137e+16,7.215137e+10,1.4832,-356.0526,-3294.6814
3.222396e-02,32.2240,4.826492e+16,4.826492e+10,6.821761e+16,6.821761e+10,1.4806,-355.0877,-3294.6814
3.251683e-02,32.5168,4.568403e+16,4.568403e+10,6.465141e+16,6.465141e+10,1.4780,-354.1228,-3294.6814
3.280970e-02,32.8097,4.334506e+16,4.334506e+10,6.142063e+16,6.142063e+10,1.4755,-353.1579,-3294.6814
3.310257e-02,33.1026,4.122670e+16,4.122670e+10,5.849566e+16,5.849566e+10,1.4730,-352.1930,-3294.6814
3.339544e-02,33.3954,3.930934e+16,3.930934e+10,5.584920e+16,5.584920e+10,1.4705,-351.2281,-3294.6814
3.368831e-02,33.6883,3.757494e+16,3.757494e+10,5.345612e+16,5.345612e+10,1.4680,-350.2632,-3294.6814
3.398118e-02,33.9812,3.600688e+16,3.600688e+10,5.129333e+16,5.129333e+10,1.4656,-349.2982,-3294.6814
3.427405e-02,34.2740,3.458990e+16,3.458990e+10,4.933960e+16,4.933960e+10,1.4632,-348.3333,-3294.6814
3.456692e-02,34.5669,3.330999e+16,3.330999e+10,4.757544e+16,4.757544e+10,1.4608,-347.3684,-3294.6814
3.485979e-02,34.8598,3.215430e+16,3.215430e+10,4.598298e+16,4.598298e+10,1.4585,-346.4035,-3294.6814
3.515266e-02,35.1527,3.111105e+16,3.111105e+10,4.454585e+16,4.454585e+10,1.4561,-345.4386,-3294.6814
3.544553e-02,35.4455,3.016945e+16,3.016945e+10,4.324907e+16,4.324907e+10,1.4538,-344.4737,-3294.6814
3.573840e-02,35.7384,2.931965e+16,2.931965e+10,4.207894e+16,4.207894e+10,1.4515,-343.5088,-3294.6814
3.603127e-02,36.0313,2.855265e+16,2.855265e+10,4.102299e+16,4.102299e+10,1.4492,-342.5439,-3294.6814
3.632414e-02,36.3241,2.786022e+16,2.786022e+10,4.006980e+16,4.006980e+10,1.4470,-341.5789,-3294.6814
3.661701e-02,36.6170,2.723490e+16,2.723490e+10,3.920902e+16,3.920902e+10,1.4448,-340.6140,-3294.6814
3.690987e-02,36.9099,2.666988e+16,2.666988e+10,3.843122e+16,3.843122e+10,1.4426,-339.6491,-3294.6814
3.720274e-02,37.2027,2.615898e+16,2.615898e+10,3.772782e+16,3.772782e+10,1.4404,-338.6842,-3294.6814
3.749561e-02,37.4956,2.569659e+16,2.569659e+10,3.709109e+16,3.709109e+10,1.4382,-337.7193,-3294.6814
3.778848e-02,37.7885,2.527763e+16,2.527763e+10,3.651399e+16,3.651399e+10,1.4361,-336.7544,-3294.6814
3.808135e-02,38.0814,2.489752e+16,2.489752e+10,3.599019e+16,3.599019e+10,1.4340,-335.7895,-3294.6814
3.837422e-02,38.3742,2.455210e+16,2.455210e+10,3.551396e+16,3.551396e+10,1.4319,-334.8246,-3294.6814
3.866709e-02,38.6671,2.423765e+16,2.423765e+10,3.508014e+16,3.508014e+10,1.4298,-333.8596,-3294.6814
3.895996e-02,38.9600,2.395079e+16,2.395079e+10,3.468410e+16,3.468410e+10,1.4278,-332.8947,-3294.6814
3.925283e-02,39.2528,2.368852e+16,2.368852e+10,3.432168e+16,3.432168e+10,1.4257,-331.9298,-3294.6814
