Wavelength_nm,Intensity
3.177789999999999964e+02,8.802172727882862091e-03
3.188820000000000050e+02,6.223196163773536682e-03
3.199850000000000136e+02,8.288248442113399506e-03
3.210879999999999654e+02,6.185817066580057144e-03
3.221909999999999741e+02,8.021940477192401886e-03
3.232939999999999827e+02,5.835413001477718353e-03
3.243969999999999914e+02,7.662190124392509460e-03
3.255000000000000000e+02,5.625170189887285233e-03
3.266030000000000086e+02,7.690220605581998825e-03
3.277060000000000173e+02,5.522382911294698715e-03
3.288089999999999691e+02,8.138744160532951355e-03
3.299119999999999777e+02,5.835413932800292969e-03
3.310149999999999864e+02,8.297593332827091217e-03
3.321179999999999950e+02,5.774677265435457230e-03
3.332210000000000036e+02,7.325801998376846313e-03
3.343240000000000123e+02,5.101897288113832474e-03
3.354269999999999641e+02,6.928674876689910889e-03
3.365299999999999727e+02,5.326157901436090469e-03
3.376329999999999814e+02,7.554733194410800934e-03
3.387359999999999900e+02,5.681235808879137039e-03
3.398389999999999986e+02,8.115382865071296692e-03
3.409420000000000073e+02,6.470811553299427032e-03
3.420450000000000159e+02,9.241352789103984833e-03
3.431479999999999677e+02,7.218344602733850479e-03
3.442509999999999764e+02,1.011969894170761108e-02
3.453539999999999850e+02,7.339817471802234650e-03
3.464569999999999936e+02,9.993554092943668365e-03
3.475600000000000023e+02,6.989412009716033936e-03
3.486630000000000109e+02,9.063811972737312317e-03
3.497659999999999627e+02,6.760482676327228546e-03
3.508689999999999714e+02,9.082499891519546509e-03
3.519719999999999800e+02,7.045479025691747665e-03
3.530749999999999886e+02,1.006831042468547821e-02
3.541779999999999973e+02,7.578096352517604828e-03
3.552810000000000059e+02,1.008699648082256317e-02
3.563840000000000146e+02,6.938018836081027985e-03
3.574869999999999663e+02,8.956355974078178406e-03
3.585899999999999750e+02,6.368027534335851669e-03
3.596929999999999836e+02,7.989238016307353973e-03
3.607959999999999923e+02,5.611153785139322281e-03
3.618990000000000009e+02,7.545389700680971146e-03
3.630020000000000095e+02,5.924181081354618073e-03
3.641049999999999613e+02,8.049973286688327789e-03
3.652079999999999700e+02,6.288605276495218277e-03
3.663109999999999786e+02,9.428235702216625214e-03
3.674139999999999873e+02,7.325803861021995544e-03
3.685169999999999959e+02,1.093730796128511429e-02
3.696200000000000045e+02,8.507837541401386261e-03
3.707230000000000132e+02,1.219876948744058609e-02
3.718259999999999650e+02,9.082497097551822662e-03
3.729289999999999736e+02,1.348358858376741409e-02
3.740319999999999823e+02,1.049346663057804108e-02
3.751349999999999909e+02,1.444136165082454681e-02
3.762379999999999995e+02,1.061961054801940918e-02
3.773410000000000082e+02,1.471234206110239029e-02
3.784440000000000168e+02,1.153066288679838181e-02
3.795469999999999686e+02,1.461422163993120193e-02
3.806499999999999773e+02,1.097935996949672699e-02
3.817529999999999859e+02,1.382933091372251511e-02
3.828559999999999945e+02,1.041871123015880585e-02
3.839590000000000032e+02,1.435258891433477402e-02
3.850620000000000118e+02,1.090927422046661377e-02
3.861649999999999636e+02,1.437128148972988129e-02
3.872679999999999723e+02,1.042338367551565170e-02
3.883709999999999809e+02,1.399283763021230698e-02
3.894739999999999895e+02,1.000289805233478546e-02
3.905769999999999982e+02,1.296966057270765305e-02
3.916800000000000068e+02,9.297418408095836639e-03
3.927830000000000155e+02,1.201188657432794571e-02
3.938859999999999673e+02,8.526522666215896606e-03
3.949889999999999759e+02,1.110083702951669693e-02
3.960919999999999845e+02,8.213496766984462738e-03
3.971949999999999932e+02,1.049813814461231232e-02
3.982980000000000018e+02,7.461294066160917282e-03
3.994010000000000105e+02,9.568395093083381653e-03
4.005039999999999623e+02,6.587615702301263809e-03
4.016069999999999709e+02,8.479801006615161896e-03
4.027099999999999795e+02,6.508191581815481186e-03
4.038129999999999882e+02,9.474954567849636078e-03
4.049159999999999968e+02,7.508015260100364685e-03
4.060190000000000055e+02,1.132975891232490540e-02
4.071220000000000141e+02,8.750782348215579987e-03
4.082249999999999659e+02,1.209598500281572342e-02
4.093279999999999745e+02,8.932998403906822205e-03
4.104309999999999832e+02,1.211467105895280838e-02
4.115339999999999918e+02,8.778816089034080505e-03
4.126370000000000005e+02,1.160074397921562195e-02
4.137400000000000091e+02,8.199483156204223633e-03
4.148429999999999609e+02,1.045141834765672684e-02
4.159459999999999695e+02,7.601457647979259491e-03
4.170489999999999782e+02,1.010568253695964813e-02
4.181519999999999868e+02,7.573420647531747818e-03
4.192549999999999955e+02,1.022248528897762299e-02
4.203580000000000041e+02,8.143416605889797211e-03
4.214610000000000127e+02,1.088592130690813065e-02
4.225639999999999645e+02,8.143413811922073364e-03
4.236669999999999732e+02,1.097936090081930161e-02
4.247699999999999818e+02,8.110714145004749298e-03
4.258729999999999905e+02,1.033461652696132660e-02
4.269759999999999991e+02,7.774319034069776535e-03
4.280790000000000077e+02,9.432903490960597992e-03
4.291819999999999595e+02,6.251225247979164124e-03
4.302849999999999682e+02,7.680880837142467499e-03
4.313879999999999768e+02,5.045832134783267975e-03
4.324909999999999854e+02,6.227865815162658691e-03
4.335939999999999941e+02,4.260926041752099991e-03
4.346970000000000027e+02,5.727955605834722519e-03
4.358000000000000114e+02,4.728131927549839020e-03
4.369029999999999632e+02,6.807200144976377487e-03
4.380059999999999718e+02,4.971079062670469284e-03
4.391089999999999804e+02,7.405227515846490860e-03
4.402119999999999891e+02,5.298125091940164566e-03
4.413149999999999977e+02,7.138919550925493240e-03
4.424180000000000064e+02,5.073866341263055801e-03
4.435210000000000150e+02,7.479980587959289551e-03
4.446239999999999668e+02,6.171801127493381500e-03
4.457269999999999754e+02,8.886274881660938263e-03
4.468299999999999841e+02,7.279081270098686218e-03
4.479329999999999927e+02,1.035797409713268280e-02
4.490360000000000014e+02,8.194804191589355469e-03
4.501390000000000100e+02,1.218943204730749130e-02
4.512419999999999618e+02,9.325449354946613312e-03
4.523449999999999704e+02,1.363776717334985733e-02
4.534479999999999791e+02,1.022715494036674500e-02
4.545509999999999877e+02,1.303039398044347763e-02
4.556539999999999964e+02,8.503162302076816559e-03
4.567570000000000050e+02,9.601099416613578796e-03
4.578600000000000136e+02,5.424271337687969208e-03
4.589629999999999654e+02,6.083033047616481781e-03
4.600659999999999741e+02,3.644213546067476273e-03
4.611689999999999827e+02,4.545920994132757187e-03
4.622719999999999914e+02,2.952748211100697517e-03
4.633750000000000000e+02,3.513397183269262314e-03
4.644780000000000086e+02,2.443492412567138672e-03
4.655809999999999604e+02,3.289137268438935280e-03
4.666839999999999691e+02,2.228577854111790657e-03
4.677869999999999777e+02,3.560114884749054909e-03
4.688900000000000432e+02,2.882667817175388336e-03
4.699929999999999950e+02,4.541249014437198639e-03
4.710959999999999468e+02,3.527411725372076035e-03
4.721990000000000123e+02,5.793362855911254883e-03
4.733019999999999641e+02,4.569283220916986465e-03
4.744050000000000296e+02,7.881779223680496216e-03
4.755079999999999814e+02,6.755810696631669998e-03
