Wavelength_nm,Intensity
3.177789999999999964e+02,2.011721879243850708e-01
3.188820000000000050e+02,1.701536178588867188e-01
3.199850000000000136e+02,1.918587982654571533e-01
3.210879999999999654e+02,1.655289083719253540e-01
3.221909999999999741e+02,1.867022663354873657e-01
3.232939999999999827e+02,1.639627814292907715e-01
3.243969999999999914e+02,1.859681904315948486e-01
3.255000000000000000e+02,1.629285216331481934e-01
3.266030000000000086e+02,1.872289925813674927e-01
3.277060000000000173e+02,1.646178066730499268e-01
3.288089999999999691e+02,1.905536055564880371e-01
3.299119999999999777e+02,1.658146977424621582e-01
3.310149999999999864e+02,1.907801479101181030e-01
3.321179999999999950e+02,1.648396104574203491e-01
3.332210000000000036e+02,1.899822056293487549e-01
3.343240000000000123e+02,1.652728468179702759e-01
3.354269999999999641e+02,1.914303898811340332e-01
3.365299999999999727e+02,1.705132424831390381e-01
3.376329999999999814e+02,1.947152465581893921e-01
3.387359999999999900e+02,1.747684776782989502e-01
3.398389999999999986e+02,2.003742903470993042e-01
3.409420000000000073e+02,1.803388595581054688e-01
3.420450000000000159e+02,2.102984040975570679e-01
3.431479999999999677e+02,1.881107985973358154e-01
3.442509999999999764e+02,2.194839119911193848e-01
3.453539999999999850e+02,1.931294053792953491e-01
3.464569999999999936e+02,2.189026325941085815e-01
3.475600000000000023e+02,1.894356608390808105e-01
3.486630000000000109e+02,2.119926214218139648e-01
3.497659999999999627e+02,1.869631409645080566e-01
3.508689999999999714e+02,2.125492691993713379e-01
3.519719999999999800e+02,1.912824809551239014e-01
3.530749999999999886e+02,2.193065583705902100e-01
3.541779999999999973e+02,1.927994340658187866e-01
3.552810000000000059e+02,2.169768512248992920e-01
3.563840000000000146e+02,1.851507127285003662e-01
3.574869999999999663e+02,2.055653184652328491e-01
3.585899999999999750e+02,1.750246733427047729e-01
3.596929999999999836e+02,1.940898299217224121e-01
3.607959999999999923e+02,1.686464548110961914e-01
3.618990000000000009e+02,1.873226165771484375e-01
3.630020000000000095e+02,1.664943546056747437e-01
3.641049999999999613e+02,1.907063126564025879e-01
3.652079999999999700e+02,1.742167919874191284e-01
3.663109999999999786e+02,2.043783813714981079e-01
3.674139999999999873e+02,1.854167282581329346e-01
3.685169999999999959e+02,2.191784679889678955e-01
3.696200000000000045e+02,1.961289346218109131e-01
3.707230000000000132e+02,2.307820916175842285e-01
3.718259999999999650e+02,2.053387761116027832e-01
3.729289999999999736e+02,2.391941547393798828e-01
3.740319999999999823e+02,2.142631113529205322e-01
3.751349999999999909e+02,2.458233684301376343e-01
3.762379999999999995e+02,2.188287675380706787e-01
3.773410000000000082e+02,2.496601343154907227e-01
3.784440000000000168e+02,2.228724360466003418e-01
3.795469999999999686e+02,2.498769909143447876e-01
3.806499999999999773e+02,2.224142700433731079e-01
3.817529999999999859e+02,2.470154464244842529e-01
3.828559999999999945e+02,2.200845777988433838e-01
3.839590000000000032e+02,2.466019093990325928e-01
3.850620000000000118e+02,2.198089212179183960e-01
3.861649999999999636e+02,2.500000298023223877e-01
3.872679999999999723e+02,2.209218740463256836e-01
3.883709999999999809e+02,2.535511255264282227e-01
3.894739999999999895e+02,2.222320586442947388e-01
3.905769999999999982e+02,2.505564689636230469e-01
3.916800000000000068e+02,2.184542715549468994e-01
3.927830000000000155e+02,2.433215230703353882e-01
3.938859999999999673e+02,2.151941508054733276e-01
3.949889999999999759e+02,2.405534535646438599e-01
3.960919999999999845e+02,2.148249149322509766e-01
3.971949999999999932e+02,2.397754490375518799e-01
3.982980000000000018e+02,2.130515873432159424e-01
3.994010000000000105e+02,2.357464283704757690e-01
4.005039999999999623e+02,2.089245617389678955e-01
4.016069999999999709e+02,2.320873886346817017e-01
4.027099999999999795e+02,2.085550129413604736e-01
4.038129999999999882e+02,2.388347387313842773e-01
4.049159999999999968e+02,2.180356383323669434e-01
4.060190000000000055e+02,2.532505393028259277e-01
4.071220000000000141e+02,2.286199778318405151e-01
4.082249999999999659e+02,2.624507248401641846e-01
4.093279999999999745e+02,2.308064997196197510e-01
4.104309999999999832e+02,2.579000890254974365e-01
4.115339999999999918e+02,2.223305553197860718e-01
4.126370000000000005e+02,2.428533583879470825e-01
4.137400000000000091e+02,2.090869247913360596e-01
4.148429999999999609e+02,2.264825403690338135e-01
4.159459999999999695e+02,1.988129913806915283e-01
4.170489999999999782e+02,2.190800607204437256e-01
4.181519999999999868e+02,1.957249790430068970e-01
4.192549999999999955e+02,2.192819863557815552e-01
4.203580000000000041e+02,1.957938969135284424e-01
4.214610000000000127e+02,2.204835712909698486e-01
4.225639999999999645e+02,1.941142976284027100e-01
4.236669999999999732e+02,2.188089787960052490e-01
4.247699999999999818e+02,1.902433633804321289e-01
4.258729999999999905e+02,2.125542461872100830e-01
4.269759999999999991e+02,1.848305612802505493e-01
4.280790000000000077e+02,2.055013030767440796e-01
4.291819999999999595e+02,1.793241947889328003e-01
4.302849999999999682e+02,1.968675553798675537e-01
4.313879999999999768e+02,1.701191812753677368e-01
4.324909999999999854e+02,1.855595111846923828e-01
4.335939999999999941e+02,1.624211668968200684e-01
4.346970000000000027e+02,1.845351755619049072e-01
4.358000000000000114e+02,1.652432829141616821e-01
4.369029999999999632e+02,1.922724246978759766e-01
4.380059999999999718e+02,1.701093167066574097e-01
4.391089999999999804e+02,1.967691183090209961e-01
4.402119999999999891e+02,1.729659885168075562e-01
4.413149999999999977e+02,1.958727091550827026e-01
4.424180000000000064e+02,1.752412468194961548e-01
4.435210000000000150e+02,2.021471858024597168e-01
4.446239999999999668e+02,1.854019612073898315e-01
4.457269999999999754e+02,2.158735245466232300e-01
4.468299999999999841e+02,1.981630176305770874e-01
4.479329999999999927e+02,2.311119139194488525e-01
4.490360000000000014e+02,2.089785039424896240e-01
4.501390000000000100e+02,2.441735565662384033e-01
4.512419999999999618e+02,2.170409560203552246e-01
4.523449999999999704e+02,2.500492036342620850e-01
4.534479999999999791e+02,2.157999426126480103e-01
4.545509999999999877e+02,2.395192533731460571e-01
4.556539999999999964e+02,1.937991827726364136e-01
4.567570000000000050e+02,2.082153111696243286e-01
4.578600000000000136e+02,1.610274016857147217e-01
4.589629999999999654e+02,1.702816933393478394e-01
4.600659999999999741e+02,1.343232542276382446e-01
4.611689999999999827e+02,1.445184201002120972e-01
4.622719999999999914e+02,1.197645738720893860e-01
4.633750000000000000e+02,1.326684951782226562e-01
4.644780000000000086e+02,1.142484024167060852e-01
4.655809999999999604e+02,1.302994787693023682e-01
4.666839999999999691e+02,1.157456263899803162e-01
4.677869999999999777e+02,1.374950855970382690e-01
4.688900000000000432e+02,1.240691840648651123e-01
4.699929999999999950e+02,1.509703546762466431e-01
4.710959999999999468e+02,1.357516348361968994e-01
4.721990000000000123e+02,1.675827503204345703e-01
4.733019999999999641e+02,1.520193368196487427e-01
4.744050000000000296e+02,1.876134276390075684e-01
4.755079999999999814e+02,1.739362329244613647e-01
4.766109999999999332e+02,2.151545435190200806e-01
4.777139999999999986e+02,1.984534859657287598e-01
4.788169999999999504e+02,2.371255904436111450e-01
4.799200000000000159e+02,2.107270807027816772e-01
4.810229999999999677e+02,2.427895218133926392e-01
4.821260000000000332e+02,2.111159712076187134e-01
4.832289999999999850e+02,2.345842719078063965e-01
4.843319999999999368e+02,2.031619995832443237e-01
4.854350000000000023e+02,2.246453016996383667e-01
4.865379999999999541e+02,1.959464848041534424e-01
4.876410000000000196e+02,2.176417410373687744e-01
4.887439999999999714e+02,1.891154795885086060e-01
4.898470000000000368e+02,2.121552973985671997e-01
4.909499999999999886e+02,1.793586909770965576e-01
4.920529999999999404e+02,2.008815705776214600e-01
4.931560000000000059e+02,1.650019586086273193e-01
4.942589999999999577e+02,1.834762394428253174e-01
4.953620000000000232e+02,1.493005454540252686e-01
4.964649999999999750e+02,1.661938279867172241e-01
4.975680000000000405e+02,1.346678584814071655e-01
4.986709999999999923e+02,1.502463817596435547e-01
4.997739999999999441e+02,1.244237273931503296e-01
5.008770000000000095e+02,1.388594359159469604e-01
5.019799999999999613e+02,1.176567003130912781e-01
5.030830000000000268e+02,1.328211128711700439e-01
5.041859999999999786e+02,1.135982498526573181e-01
5.052889999999999304e+02,1.302009969949722290e-01
5.063919999999999959e+02,1.117020994424819946e-01
5.074949999999999477e+02,1.321413964033126831e-01
5.085980000000000132e+02,1.141350865364074707e-01
5.097009999999999650e+02,1.386130750179290771e-01
5.108040000000000305e+02,1.165435165166854858e-01
5.119069999999999823e+02,1.363672614097595215e-01
5.130099999999999909e+02,1.116627082228660583e-01
5.141130000000000564e+02,1.279846876859664917e-01
5.152160000000000082e+02,1.039746105670928955e-01
5.163190000000000737e+02,1.172970980405807495e-01
5.174220000000000255e+02,9.489259868860244751e-02
5.185250000000000909e+02,1.093134135007858276e-01
5.196280000000000427e+02,9.000195562839508057e-02
5.207309999999999945e+02,1.047379896044731140e-01
5.218340000000000600e+02,8.638693392276763916e-02
5.229370000000000118e+02,1.026054099202156067e-01
5.240400000000000773e+02,8.819440007209777832e-02
5.251430000000000291e+02,1.072694361209869385e-01
5.262460000000000946e+02,9.554273635149002075e-02
5.273490000000000464e+02,1.198483482003211975e-01
5.284519999999999982e+02,1.107712611556053162e-01
5.295550000000000637e+02,1.422528773546218872e-01
5.306580000000000155e+02,1.337274312973022461e-01
5.317610000000000809e+02,1.758177578449249268e-01
5.328640000000000327e+02,1.673463135957717896e-01
5.339670000000000982e+02,2.219317555427551270e-01
5.350700000000000500e+02,2.103672623634338379e-01
5.361730000000000018e+02,2.734977602958679199e-01
5.372760000000000673e+02,2.533392012119293213e-01
5.383790000000000191e+02,3.070279955863952637e-01
5.394820000000000846e+02,2.806344032287597656e-01
5.405850000000000364e+02,3.209220170974731445e-01
5.416879999999999882e+02,2.899576127529144287e-01
5.427910000000000537e+02,3.226508796215057373e-01
5.438940000000000055e+02,2.862540483474731445e-01
5.449970000000000709e+02,3.127903342247009277e-01
5.461000000000000227e+02,2.674990296363830566e-01
5.472030000000000882e+02,2.862292528152465820e-01
5.483060000000000400e+02,2.361949682235717773e-01
5.494089999999999918e+02,2.493055611848831177e-01
5.505120000000000573e+02,1.983746439218521118e-01
5.516150000000000091e+02,2.102592736482620239e-01
5.527180000000000746e+02,1.648443788290023804e-01
5.538210000000000264e+02,1.772852838039398193e-01
5.549240000000000919e+02,1.402039080858230591e-01
5.560270000000000437e+02,1.524084359407424927e-01
5.571299999999999955e+02,1.227886527776718140e-01
5.582330000000000609e+02,1.335007846355438232e-01
5.593360000000000127e+02,1.082299202680587769e-01
5.604390000000000782e+02,1.205378323793411255e-01
5.615420000000000300e+02,1.006698161363601685e-01
5.626450000000000955e+02,1.158441305160522461e-01
5.637480000000000473e+02,9.885246306657791138e-02
5.648509999999999991e+02,1.175580322742462158e-01
5.659540000000000646e+02,1.022360175848007202e-01
5.670570000000000164e+02,1.247439384460449219e-01
5.681600000000000819e+02,1.098354756832122803e-01
5.692630000000000337e+02,1.349882036447525024e-01
5.703659999999999854e+02,1.220448911190032959e-01
5.714690000000000509e+02,1.494237184524536133e-01
5.725720000000000027e+02,1.355300098657608032e-01
5.736750000000000682e+02,1.657063663005828857e-01
5.747780000000000200e+02,1.493843197822570801e-01
5.758810000000000855e+02,1.817524135112762451e-01
5.769840000000000373e+02,1.623768508434295654e-01
5.780869999999999891e+02,1.933954656124114990e-01
5.791900000000000546e+02,1.723995059728622437e-01
5.802930000000000064e+02,2.024082988500595093e-01
5.813960000000000719e+02,1.795164346694946289e-01
5.824990000000000236e+02,2.040632218122482300e-01
5.836020000000000891e+02,1.794670969247817993e-01
5.847050000000000409e+02,2.027432173490524292e-01
5.858079999999999927e+02,1.815357357263565063e-01
5.869110000000000582e+02,2.092296034097671509e-01
5.880140000000000100e+02,1.850621104240417480e-01
5.891170000000000755e+02,2.111160904169082642e-01
5.902200000000000273e+02,1.802059859037399292e-01
5.913230000000000928e+02,2.013938426971435547e-01
5.924260000000000446e+02,1.703457236289978027e-01
5.935289999999999964e+02,1.910806596279144287e-01
5.946320000000000618e+02,1.656175404787063599e-01
5.957350000000000136e+02,1.854118406772613525e-01
5.968380000000000791e+02,1.651496142148971558e-01
5.979410000000000309e+02,1.859880685806274414e-01
5.990440000000000964e+02,1.692032068967819214e-01
6.001470000000000482e+02,1.957003325223922729e-01
6.012500000000000000e+02,1.820281594991683960e-01
6.023530000000000655e+02,2.189618796110153198e-01
6.034560000000000173e+02,2.052946239709854126e-01
6.045590000000000828e+02,2.532257735729217529e-01
6.056620000000000346e+02,2.357367575168609619e-01
