Wavelength_nm,Intensity
3.177789999999999964e+02,4.107450949959456921e-04
3.188820000000000050e+02,2.373194001847878098e-04
3.199850000000000136e+02,3.285960701759904623e-04
3.210879999999999654e+02,2.327555848751217127e-04
3.221909999999999741e+02,3.103407798334956169e-04
3.232939999999999827e+02,1.688618503976613283e-04
3.243969999999999914e+02,2.692662528716027737e-04
3.255000000000000000e+02,1.916810433613136411e-04
3.266030000000000086e+02,3.559790784493088722e-04
3.277060000000000173e+02,2.373194147367030382e-04
3.288089999999999691e+02,3.787982277572154999e-04
3.299119999999999777e+02,2.464470744598656893e-04
3.310149999999999864e+02,3.559790784493088722e-04
3.321179999999999950e+02,1.688618795014917850e-04
3.332210000000000036e+02,3.377237590029835701e-04
3.343240000000000123e+02,2.738300536293536425e-04
3.354269999999999641e+02,3.696705680340528488e-04
3.365299999999999727e+02,2.692661946639418602e-04
3.376329999999999814e+02,3.285960992798209190e-04
3.387359999999999900e+02,2.875215432140976191e-04
3.398389999999999986e+02,3.833620867226272821e-04
3.409420000000000073e+02,2.829577424563467503e-04
3.420450000000000159e+02,4.244365845806896687e-04
3.431479999999999677e+02,2.647023648023605347e-04
3.442509999999999764e+02,4.244366136845201254e-04
3.453539999999999850e+02,3.149045514874160290e-04
3.464569999999999936e+02,5.796068580821156502e-04
3.475600000000000023e+02,4.244365845806896687e-04
3.486630000000000109e+02,5.020217504352331161e-04
3.497659999999999627e+02,3.331599000375717878e-04
3.508689999999999714e+02,3.331599000375717878e-04
3.519719999999999800e+02,1.916810433613136411e-04
3.530749999999999886e+02,3.240322112105786800e-04
3.541779999999999973e+02,1.734256948111578822e-04
3.552810000000000059e+02,2.738300245255231857e-04
3.563840000000000146e+02,1.369150413665920496e-04
3.574869999999999663e+02,2.510109043214470148e-04
3.585899999999999750e+02,1.597341906744986773e-04
3.596929999999999836e+02,2.190640225308015943e-04
3.607959999999999923e+02,1.095320403692312539e-04
3.618990000000000009e+02,2.008087176363915205e-04
3.630020000000000095e+02,1.140958484029397368e-04
3.641049999999999613e+02,1.871171989478170872e-04
3.652079999999999700e+02,1.460427010897547007e-04
3.663109999999999786e+02,3.149045805912464857e-04
3.674139999999999873e+02,3.012130327988415956e-04
3.685169999999999959e+02,4.244365554768592119e-04
3.696200000000000045e+02,2.418832300463691354e-04
3.707230000000000132e+02,4.609471943695098162e-04
3.718259999999999650e+02,3.742343687918037176e-04
3.729289999999999736e+02,6.982666673138737679e-04
3.740319999999999823e+02,5.065856385044753551e-04
3.751349999999999909e+02,8.397455094382166862e-04
3.762379999999999995e+02,5.887346342206001282e-04
3.773410000000000082e+02,8.945114677771925926e-04
3.784440000000000168e+02,7.347773062065243721e-04
3.795469999999999686e+02,1.004043500870466232e-03
3.806499999999999773e+02,7.119582151062786579e-04
3.817529999999999859e+02,8.169263601303100586e-04
3.828559999999999945e+02,5.248408997431397438e-04
3.839590000000000032e+02,9.082030155695974827e-04
3.850620000000000118e+02,6.800113478675484657e-04
3.861649999999999636e+02,1.063373289071023464e-03
3.872679999999999723e+02,6.937027792446315289e-04
3.883709999999999809e+02,1.081628492102026939e-03
3.894739999999999895e+02,6.069898372516036034e-04
3.905769999999999982e+02,9.538415470160543919e-04
3.916800000000000068e+02,6.024260073900222778e-04
3.927830000000000155e+02,7.849794928915798664e-04
3.938859999999999673e+02,4.198726965114474297e-04
3.949889999999999759e+02,6.571920821443200111e-04
3.960919999999999845e+02,3.833620285149663687e-04
3.971949999999999932e+02,6.298091029748320580e-04
