Wavelength_nm,Intensity
3.177789999999999964e+02,3.193946322426199913e-04
3.188820000000000050e+02,4.094803007319569588e-04
3.199850000000000136e+02,6.715475465171039104e-04
3.210879999999999654e+02,1.171113457530736923e-03
3.221909999999999741e+02,1.056459266692399979e-03
3.232939999999999827e+02,6.715477211400866508e-04
3.243969999999999914e+02,5.405138945206999779e-04
3.255000000000000000e+02,4.422386991791427135e-04
3.266030000000000086e+02,4.586179275065660477e-04
3.277060000000000173e+02,4.176698857918381691e-04
3.288089999999999691e+02,3.849115164484828711e-04
3.299119999999999777e+02,4.176698566880077124e-04
3.310149999999999864e+02,4.340490850154310465e-04
3.321179999999999950e+02,4.913763841614127159e-04
3.332210000000000036e+02,4.668075125664472580e-04
3.343240000000000123e+02,3.112050180789083242e-04
3.354269999999999641e+02,3.275842755101621151e-04
3.365299999999999727e+02,3.521530597936362028e-04
3.376329999999999814e+02,3.193945740349590778e-04
3.387359999999999900e+02,3.030154330190271139e-04
3.398389999999999986e+02,2.948257606476545334e-04
3.409420000000000073e+02,4.258594708517193794e-04
3.420450000000000159e+02,4.012906574644148350e-04
3.431479999999999677e+02,5.978412809781730175e-04
3.442509999999999764e+02,7.206851732917129993e-04
3.453539999999999850e+02,6.142204510979354382e-04
3.464569999999999936e+02,4.012906574644148350e-04
3.475600000000000023e+02,2.293089492013677955e-04
3.486630000000000109e+02,1.965505362022668123e-04
3.497659999999999627e+02,2.211193350376561284e-04
3.508689999999999714e+02,2.866361755877733231e-04
3.519719999999999800e+02,3.193945740349590778e-04
3.530749999999999886e+02,4.668074834626168013e-04
3.541779999999999973e+02,5.241348408162593842e-04
3.552810000000000059e+02,5.077556124888360500e-04
3.563840000000000146e+02,4.094802716281265020e-04
3.574869999999999663e+02,2.702569763641804457e-04
3.585899999999999750e+02,1.064648749888874590e-04
3.596929999999999836e+02,2.047401067102327943e-04
3.607959999999999923e+02,1.883609220385551453e-04
3.618990000000000009e+02,1.637920940993353724e-04
3.630020000000000095e+02,2.211193641414865851e-04
3.641049999999999613e+02,2.374985633650794625e-04
3.652079999999999700e+02,2.866361755877733231e-04
3.663109999999999786e+02,3.521530306898057461e-04
3.674139999999999873e+02,5.732724093832075596e-04
3.685169999999999959e+02,7.288748747669160366e-04
3.696200000000000045e+02,7.043061195872724056e-04
3.707230000000000132e+02,7.862020866014063358e-04
3.718259999999999650e+02,6.961164763197302818e-04
3.729289999999999736e+02,6.551683763973414898e-04
3.740319999999999823e+02,6.305995630100369453e-04
3.751349999999999909e+02,6.551683763973414898e-04
3.762379999999999995e+02,8.517189999110996723e-04
3.773410000000000082e+02,1.203871914185583591e-03
3.784440000000000168e+02,2.235762309283018112e-03
3.795469999999999686e+02,2.342226915061473846e-03
3.806499999999999773e+02,1.940936665050685406e-03
3.817529999999999859e+02,1.326716155745089054e-03
3.828559999999999945e+02,1.064648618921637535e-03
