Wavelength_nm,Intensity
3.177789999999999964e+02,2.132497943486770797e-01
3.188820000000000050e+02,1.932238716025319047e-01
3.199850000000000136e+02,2.194515329145014515e-01
3.210879999999999654e+02,2.068097005612020978e-01
3.221909999999999741e+02,2.231436410685181393e-01
3.232939999999999827e+02,2.045585809481495765e-01
3.243969999999999914e+02,2.226145093574961598e-01
3.255000000000000000e+02,1.915016309433649477e-01
3.266030000000000086e+02,2.018974117285246284e-01
3.277060000000000173e+02,1.738359637386996948e-01
3.288089999999999691e+02,1.906011113024394799e-01
3.299119999999999777e+02,1.624941777751382765e-01
3.310149999999999864e+02,1.768416356083352958e-01
3.321179999999999950e+02,1.546472280324422688e-01
3.332210000000000036e+02,1.642277515644045005e-01
3.343240000000000123e+02,1.407450178673444741e-01
3.354269999999999641e+02,1.538850397138550041e-01
3.365299999999999727e+02,1.478913412797218940e-01
3.376329999999999814e+02,1.738622540439510866e-01
3.387359999999999900e+02,1.656307201893625070e-01
3.398389999999999986e+02,1.833792895533516432e-01
3.409420000000000073e+02,1.784244212896283766e-01
3.420450000000000159e+02,2.120479139764688548e-01
3.431479999999999677e+02,1.965545688416490133e-01
3.442509999999999764e+02,2.327274847132895508e-01
3.453539999999999850e+02,1.978310410329573166e-01
3.464569999999999936e+02,2.035150886265165993e-01
3.475600000000000023e+02,1.716899233556739290e-01
3.486630000000000109e+02,1.623107913948331205e-01
3.497659999999999627e+02,1.350813360609612046e-01
3.508689999999999714e+02,1.580156200470117511e-01
3.519719999999999800e+02,1.653422922888668212e-01
3.530749999999999886e+02,1.938918823731593799e-01
3.541779999999999973e+02,1.832765499797726627e-01
3.552810000000000059e+02,1.916033945867019195e-01
3.563840000000000146e+02,1.612065306802031306e-01
3.574869999999999663e+02,1.696752328568006674e-01
3.585899999999999750e+02,1.302366280631347684e-01
3.596929999999999836e+02,1.417013533182147900e-01
3.607959999999999923e+02,1.166942760472579332e-01
3.618990000000000009e+02,1.399425851763552442e-01
3.630020000000000095e+02,1.298509309357043229e-01
3.641049999999999613e+02,1.602288208488568955e-01
3.652079999999999700e+02,1.572845225989750739e-01
3.663109999999999786e+02,1.932335818423789597e-01
3.674139999999999873e+02,1.848920964969117398e-01
3.685169999999999959e+02,2.217325707696995718e-01
3.696200000000000045e+02,1.941427729604890684e-01
3.707230000000000132e+02,2.178167257841008009e-01
3.718259999999999650e+02,1.902780151530394093e-01
3.729289999999999736e+02,2.180100624371125451e-01
3.740319999999999823e+02,1.964276832460893629e-01
3.751349999999999909e+02,2.324404560453829927e-01
3.762379999999999995e+02,2.204602828965268879e-01
3.773410000000000082e+02,2.608230734152637842e-01
3.784440000000000168e+02,2.348365510164840964e-01
