Wavelength_nm,Intensity
3.177789999999999964e+02,4.331153503961225892e-01
3.188820000000000050e+02,3.911647767359530126e-01
3.199850000000000136e+02,4.264479717890498622e-01
3.210879999999999654e+02,3.967880416563766555e-01
3.221909999999999741e+02,4.251502001685046883e-01
3.232939999999999827e+02,3.896025176203535834e-01
3.243969999999999914e+02,4.039116578711167693e-01
3.255000000000000000e+02,3.696960054883309255e-01
3.266030000000000086e+02,3.795243860403630931e-01
3.277060000000000173e+02,3.497203039391727497e-01
3.288089999999999691e+02,3.647657901791296342e-01
3.299119999999999777e+02,3.285143308896831260e-01
3.310149999999999864e+02,3.429359862088603439e-01
3.321179999999999950e+02,2.973203802792525607e-01
3.332210000000000036e+02,3.132564054736069470e-01
3.343240000000000123e+02,2.828365252198443702e-01
3.354269999999999641e+02,3.126341039256759768e-01
3.365299999999999727e+02,3.030835520886632772e-01
3.376329999999999814e+02,3.479640504372418230e-01
3.387359999999999900e+02,3.258887520237772617e-01
3.398389999999999986e+02,3.770297905268477079e-01
3.409420000000000073e+02,3.668344937355411672e-01
3.420450000000000159e+02,4.116641765595447366e-01
3.431479999999999677e+02,3.790748473116329342e-01
3.442509999999999764e+02,4.156785343506226860e-01
3.453539999999999850e+02,3.690032826381357545e-01
3.464569999999999936e+02,3.742207266340264460e-01
3.475600000000000023e+02,3.156776204318190726e-01
3.486630000000000109e+02,3.208457215722542166e-01
3.497659999999999627e+02,2.900502715874520021e-01
3.508689999999999714e+02,3.256238484700099134e-01
3.519719999999999800e+02,3.274254426933614348e-01
3.530749999999999886e+02,3.742284810628517810e-01
3.541779999999999973e+02,3.439401290737063022e-01
3.552810000000000059e+02,3.634362734557461949e-01
3.563840000000000146e+02,3.226580739105452955e-01
3.574869999999999663e+02,3.459144605648564186e-01
3.585899999999999750e+02,3.039293048724595603e-01
3.596929999999999836e+02,3.151387536046353355e-01
3.607959999999999923e+02,2.801504838659850116e-01
3.618990000000000009e+02,3.007538647924872244e-01
3.630020000000000095e+02,2.894688482420375575e-01
3.641049999999999613e+02,3.325906786166166751e-01
3.652079999999999700e+02,3.345351673096917944e-01
3.663109999999999786e+02,3.942537937477523791e-01
3.674139999999999873e+02,3.798176556518393365e-01
3.685169999999999959e+02,4.243871331266934055e-01
3.696200000000000045e+02,3.859795572818386367e-01
3.707230000000000132e+02,4.167207816927167574e-01
3.718259999999999650e+02,3.771473038519748133e-01
3.729289999999999736e+02,4.159831617226772971e-01
3.740319999999999823e+02,3.877343352186200520e-01
3.751349999999999909e+02,4.428290780356927692e-01
3.762379999999999995e+02,4.219781566001998274e-01
3.773410000000000082e+02,4.715524698248130808e-01
3.784440000000000168e+02,4.371989990385743430e-01
3.795469999999999686e+02,4.788398843021214879e-01
3.806499999999999773e+02,4.470997168110116826e-01
3.817529999999999859e+02,4.797390039478768298e-01
3.828559999999999945e+02,4.386077538862739877e-01
3.839590000000000032e+02,4.718730864343848586e-01
3.850620000000000118e+02,4.359699550804490009e-01
3.861649999999999636e+02,4.620724641200264493e-01
3.872679999999999723e+02,4.248435949184563021e-01
3.883709999999999809e+02,4.582942574218757392e-01
3.894739999999999895e+02,4.256896556653133046e-01
3.905769999999999982e+02,4.480878287361705348e-01
3.916800000000000068e+02,4.108429991742056919e-01
3.927830000000000155e+02,4.411649434318586915e-01
3.938859999999999673e+02,4.145408702154071978e-01
3.949889999999999759e+02,4.644514000927913444e-01
3.960919999999999845e+02,4.489662110922805760e-01
3.971949999999999932e+02,4.846352627943029678e-01
3.982980000000000018e+02,4.353252604884737531e-01
3.994010000000000105e+02,4.439021198787881928e-01
4.005039999999999623e+02,3.825397154858231064e-01
4.016069999999999709e+02,3.834178947959779871e-01
4.027099999999999795e+02,3.523020179643655547e-01
4.038129999999999882e+02,3.775110666783312308e-01
4.049159999999999968e+02,3.608826870983204427e-01
4.060190000000000055e+02,3.984535648229707849e-01
4.071220000000000141e+02,3.768857531772347724e-01
4.082249999999999659e+02,4.076674881668979622e-01
4.093279999999999745e+02,3.737030806646854941e-01
4.104309999999999832e+02,3.987211601162586327e-01
4.115339999999999918e+02,3.554024089064815040e-01
4.126370000000000005e+02,3.755903043927796836e-01
4.137400000000000091e+02,3.284671766250013003e-01
4.148429999999999609e+02,3.390034190473863451e-01
4.159459999999999695e+02,3.103119421275221668e-01
4.170489999999999782e+02,3.276750808092057654e-01
4.181519999999999868e+02,3.000020718991677771e-01
